iter	RMSE
900	0.4072992786
901	0.4072909229
902	0.4072891885
903	0.4072206186
904	0.4071754647
905	0.4070779919
906	0.407019221
907	0.4069430407
908	0.4069047569
909	0.4068063695
910	0.4066771635
911	0.4066111316
912	0.4065877428
913	0.4065660324
914	0.4065170103
915	0.4064991171
916	0.4064254413
917	0.4063713869
918	0.4063227028
919	0.4062213812
920	0.4061994469
921	0.4061684916
922	0.4061379466
923	0.4061311728
924	0.4060667564
925	0.405929162
926	0.4058328667
927	0.405758455
928	0.4057417271
929	0.4055931211
930	0.4055794148
931	0.4054764978
932	0.4054110473
933	0.4053250627
934	0.4052486168
935	0.4052197836
936	0.4051242323
937	0.4050960024
938	0.4050608636
939	0.4049855447
940	0.4048882485
941	0.4046904069
942	0.4046319594
943	0.4045113092
944	0.4043942142
945	0.4043492921
946	0.4042344715
947	0.4041784566
948	0.4041371419
949	0.404088861
950	0.4039452799
951	0.4038738879
952	0.4038438727
953	0.4037552664
954	0.4035999242
955	0.4035349855
956	0.4034248206
957	0.4032845659
958	0.4032543158
959	0.403136574
960	0.4030404479
961	0.4030249452
962	0.4030242831
963	0.4029469267
964	0.4029065872
965	0.4028474054
966	0.4028107262
967	0.4027315341
968	0.4026062516
969	0.4025962724
970	0.402487199
971	0.4024275074
972	0.4023861974
973	0.4022496861
974	0.4022043342
975	0.4021459781
976	0.4021255646
977	0.4020448903
978	0.4019977181
979	0.4019756019
980	0.4019477282
981	0.4019248116
982	0.4019186897
983	0.4017841396
984	0.4017356322
985	0.4016850221
986	0.4016358574
987	0.401571998
988	0.4015612049
989	0.4015460844
990	0.401490918
991	0.4014569623
992	0.4014544567
993	0.4013863607
994	0.4013263925
995	0.4013023271
996	0.4012991991
997	0.4012134528
998	0.4010195217
999	0.4009690417
